SP500,APPL,TSLA,MSFT,AMZN,COST
246.51,40.4,24.16,73.22,49.14,156.88
246.94,40.24,24.19,73.65,48.91,159.76
243.09,39.47,23.46,72.4,48.03,158.57
242.71,39.38,23.16,72.49,47.92,157.08
242.9,39.3,22.52,72.15,47.66,157.07
245.44,39.95,22.76,73.16,48.35,158.7
244.56,39.99,23.52,72.72,47.9,159.37
243.99,39.82,23.53,72.69,47.62,151.33
244.56,39.97,23.2,72.82,47.26,152.45
244.57,40.37,23.04,72.83,47.3,152.55
244.85,40.73,23.16,73.05,47.7,153.56
246.01,40.84,23.55,74.01,48.38,154.44
247.49,41.0,23.73,74.77,49.03,156.74
247.84,41.01,23.69,73.94,48.91,158.24
246.06,40.52,23.31,73.61,48.26,159.14
246.9,40.48,22.97,73.4,48.39,158.86
246.87,40.32,23.37,74.34,48.97,159.28
246.58,39.66,22.89,73.98,48.3,157.31
249.21,40.38,24.25,74.76,48.9,157.36
250.05,40.22,24.18,74.68,49.13,160.04
250.17,39.91,24.42,75.21,49.98,162.99
250.09,39.57,25.18,74.77,49.61,162.37
249.19,39.97,25.32,75.31,49.34,162.3
249.72,39.67,25.67,75.16,48.71,160.91
249.97,39.68,25.01,75.44,48.49,161.56
250.06,39.02,24.93,74.94,48.66,162.85
249.39,38.35,24.43,74.21,48.23,161.48
249.44,37.97,23.41,74.41,47.76,161.29
248.93,37.64,23.0,73.26,46.99,162.33
249.08,38.28,23.02,73.26,46.93,164.07
250.05,38.56,22.73,73.85,47.54,164.42
250.35,38.32,22.64,73.87,47.82,163.9
251.23,38.53,22.74,74.49,48.07,164.29
252.32,38.45,22.77,74.61,47.96,165.89
252.86,38.62,23.21,74.26,47.86,165.08
253.16,38.37,23.67,74.69,48.27,165.21
254.66,38.85,23.69,75.97,49.04,167.07
254.37,38.83,23.79,76.0,49.48,157.09
253.95,38.96,22.86,76.29,49.55,154.61
254.62,38.98,23.71,76.29,49.36,156.87
255.02,39.14,23.64,76.42,49.75,157.87
254.64,39.0,23.71,77.12,50.05,157.22
254.95,39.25,23.7,77.49,50.15,159.85
255.29,39.97,23.37,77.65,50.32,158.81
255.47,40.12,23.72,77.59,50.46,158.38
255.72,39.94,23.98,77.61,49.85,157.55
255.79,38.99,23.45,77.91,49.33,158.46
257.11,39.06,23.01,78.81,49.15,160.77
256.11,39.04,22.47,78.83,48.32,162.04
256.56,39.28,22.49,78.86,48.8,162.29
255.29,39.1,21.72,78.63,48.65,162.18
255.62,39.35,21.74,78.76,48.62,162.46
257.71,40.76,21.39,83.81,55.05,162.38
256.75,41.68,21.34,83.89,55.54,160.23
257.15,42.26,22.1,83.18,55.26,161.08
257.49,41.72,21.41,83.18,55.18,162.69
257.59,42.03,19.95,84.05,54.71,164.95
258.45,43.13,20.41,84.14,55.58,166.44
258.85,43.56,20.19,84.47,56.03,165.05
258.67,43.7,20.4,84.27,56.16,166.28
259.11,44.06,20.29,84.56,56.64,169.05
258.17,43.97,20.2,84.09,56.46,169.11
258.09,43.67,20.2,83.87,56.27,171.36
258.33,43.49,21.03,83.93,56.46,171.46
257.73,42.84,20.58,84.05,56.84,171.44
256.44,42.27,20.75,82.98,56.33,169.0
258.62,42.78,20.83,83.2,56.86,170.98
257.86,42.54,21.0,82.4,56.49,170.98
258.3,42.5,20.58,82.53,56.32,172.28
259.99,43.29,21.19,83.72,56.97,173.42
259.76,43.74,20.84,83.11,57.81,172.48
260.23,43.52,21.12,83.87,59.79,172.61
262.87,43.27,21.17,84.88,59.68,173.65
262.71,42.37,20.5,83.34,58.06,177.53
265.01,42.96,20.59,84.17,58.84,184.43
264.46,42.76,20.44,84.26,58.12,185.13
264.14,42.45,20.35,81.08,56.7,189.56
263.19,42.41,20.25,81.59,57.08,187.82
263.24,42.25,20.88,82.78,57.62,187.22
264.07,42.33,20.75,82.49,57.99,186.2
265.51,42.34,21.01,84.16,58.1,188.07
266.31,43.17,21.93,85.23,58.45,188.86
266.78,42.93,22.74,85.58,58.25,188.3
266.75,43.07,22.6,85.35,58.21,188.28
265.66,43.06,22.53,84.69,58.71,186.53
266.51,43.49,22.9,86.85,58.96,192.73
268.2,44.11,22.59,86.38,59.53,192.31
267.17,43.64,22.07,85.83,59.37,188.33
267.03,43.59,21.93,85.52,58.88,187.51
267.58,43.75,22.11,85.5,58.74,186.8
267.51,43.75,21.68,85.51,58.42,186.63
267.19,42.64,21.15,85.4,58.84,186.55
267.32,42.65,20.78,85.71,59.11,186.3
267.87,42.77,21.02,85.72,59.31,186.62
266.86,42.31,20.76,85.54,58.47,186.12
268.77,43.07,21.37,85.95,59.45,188.32
270.47,43.06,21.15,86.35,60.21,190.58
271.61,43.26,20.97,87.11,60.48,189.1
273.42,43.75,21.11,88.19,61.46,187.75
273.92,43.59,22.43,88.28,62.34,188.48
274.54,43.58,22.25,88.22,62.64,186.29
274.12,43.57,22.32,87.82,62.72,185.42
276.12,43.82,22.53,88.08,63.83,189.38
277.92,44.27,22.41,89.6,65.26,191.84
276.97,44.05,22.67,88.35,65.24,191.53
279.61,44.78,23.14,90.14,64.75,192.29
279.14,44.82,22.97,90.1,64.67,191.51
280.41,44.62,23.33,90.0,64.73,192.29
282.69,44.25,23.44,91.61,66.37,194.38
283.29,44.26,23.52,91.9,68.13,193.42
283.18,43.56,23.06,91.82,67.88,194.24
283.3,42.78,22.51,92.33,68.9,197.95
286.58,42.88,22.86,94.06,70.1,198.91
284.68,41.99,23.3,93.92,70.88,198.32
281.76,41.74,23.05,92.74,71.89,197.91
281.9,41.86,23.62,95.01,72.54,194.87
281.58,41.95,23.28,94.26,69.5,193.47
275.45,40.13,22.92,91.78,71.5,190.99
263.93,39.12,22.21,88.0,69.5,182.77
269.13,40.76,22.26,91.33,72.14,185.01
267.67,39.89,23.0,89.61,70.84,183.19
257.63,38.79,21.02,85.01,67.53,178.61
261.5,39.1,20.69,88.18,66.98,180.72
265.34,40.68,21.05,89.13,69.31,181.06
266.0,41.09,21.58,89.83,70.73,184.15
269.59,41.84,21.49,90.81,72.55,187.35
273.03,43.25,22.27,92.66,73.09,191.48
273.11,43.11,22.37,92.0,72.43,191.56
271.4,42.96,22.32,92.72,73.42,188.12
270.05,42.77,22.22,91.49,74.15,185.75
270.4,43.13,23.08,91.73,74.27,186.59
274.71,43.88,23.47,94.06,75.0,189.81
277.9,44.74,23.83,95.42,76.1,192.81
274.43,44.6,23.4,94.2,75.6,190.1
271.65,44.53,22.87,93.77,75.62,190.9
267.7,43.75,22.06,92.85,74.67,189.03
269.08,44.05,22.34,93.05,75.01,189.33
272.19,44.21,22.22,93.64,76.18,191.48
272.88,44.17,21.88,93.32,76.88,191.46
272.78,43.76,22.15,93.86,77.25,187.36
274.1,44.24,21.94,94.43,77.59,185.69
